,0
0,13.319973771066795
1,1.4418512949300843
2,4.038500685790632
3,14.37245799148083
4,3.6247735150743825
5,-2.6216176404923344
6,-6.391721876693414
7,-19.041372164847115
8,3.636511326356044
9,4.603528818079584
10,13.878328919656305
11,4.718026564145779
12,-1.391624729067748
13,-2.610121005699575
14,-12.640637324239208
15,-6.72423998782325
16,6.861965757549931
17,10.9564539414642
18,8.81233039191184
19,3.816724743916153
20,9.146273307714912
21,13.115065011792968
22,1.16806471512454
23,3.832613131155853
24,14.234741364395443
25,3.81642410783427
26,-3.16656793826516
27,-7.650423175095407
28,-17.640894880524026
29,2.796794629027291
30,3.3295567342548913
31,12.18667993654346
32,8.463547916033683
33,-3.8482876693419654
34,-7.813860495812387
35,-16.588021174915326
36,1.467910686746751
37,1.1513177764176992
38,4.396475323876414
39,20.276587618864255
40,-6.824889770741472
41,-7.981855089390049
42,-11.740988791194004
43,-5.70792165234852
44,-6.054024428361459
45,-12.61101838786685
46,-5.961627162345218
47,-3.5208353805522217
48,-10.34405530647953
49,-11.88334619210067
50,0.3010319706649484
51,-1.4014874450990742
52,-6.902826947000528
53,-21.783242405508325
54,7.713026159907924
55,8.94527171691067
56,11.42351562049326
57,4.460065924621277
58,7.152537410773038
59,13.748485775893187
60,3.299713012000193
61,3.9158266628256944
62,12.455076682780502
63,7.654521259402438
64,-0.9672150068215293
65,-0.7529260185045247
66,-3.7298815936173626
67,-20.24451889764234
68,8.444864587434804
69,8.81493987420035
70,9.320464502644958
71,7.705739251395295
72,8.151139296375726
73,9.735206484951249
74,7.533289184692295
75,7.699111476742778
76,10.284408927160896
77,7.428362163204806
78,6.949575457725783
79,10.837873601156865
80,7.586289875617458
81,5.759134059229687
82,10.943775788445244
83,8.670491776906381
84,3.9404082194367396
85,9.341008729907665
86,12.734980747138557
87,1.3262082149053074
88,4.21769949192471
89,15.015511211880273
90,2.3725856927385234
91,-2.7920935369171014
92,-7.218357422412056
93,-18.55159220811886
94,3.5405883624217966
95,4.445561976627971
96,14.296287359709728
97,3.846991032257394
98,-2.0985187491853594
99,-4.914618009699648
100,-18.63093700989077
101,3.5844273285552006
102,5.493930787205415
103,13.394138424114685
104,5.457291281306549
105,0.9027757120839704
106,4.501150589126246
107,17.97367001185738
108,-2.953727866360981
109,-5.519361960999299
110,-13.000522129489731
111,-6.172742625210209
112,-1.1312534072211922
113,-5.106807523166211
114,-18.500115908152157
115,3.1732757675759937
116,4.907867461907053
117,13.094346002077256
118,6.242645876306787
119,-0.21831466286475704
120,1.2362577053335406
121,6.548496966790468
122,22.96824099305094
123,-8.915426475234518
124,-9.15433150710083
125,-9.954042882360877
126,-6.108872951589092
127,-8.446298444779655
128,-11.216074412793706
129,-5.216147896165388
130,-7.201814627921388
131,-12.94020077437139
132,-4.403574540740645
133,-4.769746921910821
134,-12.923385199769147
135,-6.354024774354153
136,-0.8645124653915607
137,-4.371207290688331
138,-17.50479458689931
139,2.3035358919299807
140,5.30057497547442
141,12.668662451168975
142,6.910512251768595
143,0.8006727666946775
144,4.18086656315108
145,17.00525887631389
146,-1.6403876256658614
147,-5.248893908068248
148,-12.376989481284431
149,-7.499035316774805
150,-0.7826125118422751
151,-4.113096882071832
152,-16.71496701686681
153,1.1724482405390493
154,5.115861182622789
155,12.14055895096453
156,8.033249754882617
157,0.5707396954105086
158,3.546348573567378
159,15.276203382680865
160,1.0776322247153198
161,-5.408167053538414
162,-11.630863746073713
163,-8.83747225525032
164,-1.2330533887786912
165,-5.083868333245948
166,-17.619272604936995
167,1.8112538937482658
168,3.788634712259672
169,11.107680490956401
170,10.906553323912895
171,-2.0670656732520167
172,-3.085756484295588
173,-13.280279611947638
174,-5.4460124904415395
175,5.500061359241977
176,10.750933699332188
177,10.439401944616765
178,1.4084996327825978
179,5.128625677318021
180,17.02567685642189
181,-0.8267769553302388
182,-2.9092330798238035
183,-8.828232311692169
184,-16.40693943476737
185,3.6287581005707223
186,5.2116050835565
187,16.25465502140211
188,0.434361592450187
189,-2.0763432546965768
190,-6.016938701441825
191,-20.036243113711112
192,4.934500529408515
193,6.148366105225094
194,14.599673456220772
195,3.061217643691515
196,1.3660369925274496
197,6.003164817315583
198,19.875058881771338
199,-4.719913132121847
200,-5.91660527358801
201,-14.600659651898846
202,-3.162783239864687
203,-0.9494314406083869
204,-4.669225807425479
205,-18.935889206968717
206,4.309367273674874
207,6.250294245125465
208,13.41631088686535
209,4.9866030417725185
210,2.38037228075767
211,8.475287949378245
212,16.353494956077718
213,-2.528306994873377
214,-3.0064114299326676
215,-11.776923853923522
216,-9.50066658181349
217,4.646331982567234
218,8.926924416634897
219,14.336657070514205
220,-0.13575354101275008
221,1.4776184451197565
222,6.96692078995517
223,21.169213160716964
224,-6.940189846303521
225,-8.48299776101825
226,-12.655537496479894
227,-3.453774306782847
228,-5.68544699716745
229,-14.563617757286979
230,-3.16073143027028
231,-1.192229270235266
232,-5.447642858493342
233,-19.71850335883216
234,4.700411421877003
235,6.026585154252149
236,14.13810008549015
237,3.8933278978742263
238,1.5141207709667157
239,6.375555273099479
240,19.468876068789605
241,-4.220313769137925
242,-5.320303885620771
243,-14.659029945055131
244,-3.212321191104293
245,0.2971939978617276
246,-0.551852937922438
