,0
0,0.7563511871146991
1,0.48531338194546947
2,0.3200269741239947
3,0.9806383481536123
4,3.868983483348834
5,15.583267891179025
6,14.639561198422275
7,-11.350997675195037
8,-8.833000547218665
9,-7.573580472870011
10,-8.225274266375198
11,-9.563072676799967
12,-8.849999366716766
13,-7.165023097973388
14,-7.812841540490314
15,-9.846799485358233
16,-9.39740049460859
17,-6.706965993707671
18,-7.127371833499648
19,-9.977302892912972
20,-10.391562701308459
21,-6.210408191285143
22,-6.027487347244479
23,-9.583236536840838
24,-12.047323369221047
25,-5.959095502545881
26,-4.330354382681134
27,-7.903426966569203
28,-13.753576126851437
29,-7.586766125746192
30,-1.8444380857734572
31,-4.003682261092265
32,-10.129454588786222
33,-17.144184795268114
34,-0.10301602167379353
35,1.693979991821812
36,2.361821588638726
37,7.011275975429394
38,19.52826962115648
39,1.5899030976373263
40,-6.122879467602938
41,-8.006095853384254
42,-13.334168234338973
43,-8.113046084074742
44,-2.2766227397910193
45,-4.412045944559655
46,-10.613793943209973
47,-16.119651826093104
48,-0.4531280367913677
49,0.7765750380178245
50,0.49963159884705
51,1.4202678568565286
52,5.389624013356527
53,19.517165010590183
54,3.4415575379908336
55,-9.882106889640745
56,-8.854393968963686
57,-8.746902103904214
58,-8.303400403555036
59,-8.180583809046011
60,-8.658817053399439
61,-8.876045852131215
62,-8.296203130045493
63,-8.004086075071314
64,-8.628351687844674
65,-9.088777083546265
66,-8.333232584387801
67,-7.755861229934229
68,-8.526674680280214
69,-9.375532894408297
70,-8.452741456863198
71,-7.416461554965211
72,-8.300817700141302
73,-9.730977873068063
74,-8.727582592753427
75,-6.966126288186583
76,-7.870451696889283
77,-10.100757375674359
78,-9.29393001395651
79,-6.392930242248163
80,-7.116308049591796
81,-10.299728746117001
82,-10.405453226482901
83,-5.735790616768512
84,-5.866750840216224
85,-9.831503951749449
86,-12.396366105658212
87,-5.33095619922559
88,-3.8976221250030596
89,-7.662287897859459
90,-14.280681169656411
91,-7.5861351900437946
92,-0.9919234570462415
93,-2.8040218862199207
94,-7.778604325357787
95,-18.278222507294995
96,-2.514426716198721
97,3.6316533371804294
98,4.963710625246338
99,12.008223734109398
100,15.465875983830966
101,-1.474097745774972
102,-1.7406489529791191
103,-3.1345512772008477
104,-9.589575429581334
105,-20.75601628778468
106,3.9415589110729776
107,5.765331528550385
108,9.076498321162406
109,14.18144744517562
110,5.372410892234272
111,1.9024318165859155
112,4.607157929418635
113,11.726444709800887
114,15.883854272236391
115,-1.4116428518568007
116,-1.8289466442413047
117,-3.245461575741904
118,-9.815866421807822
119,-20.510954514549795
120,3.934123780808276
121,5.565815355768786
122,8.97874077042884
123,14.47318993896212
124,5.266318152452746
125,1.5428816477841445
126,4.038500685790632
127,10.744502483266752
128,17.51514043893612
129,-1.483161332936286
130,-2.6216176404923344
131,-4.594209160562037
132,-12.600517203732988
133,-16.166066392318147
134,3.636511326356044
135,3.907088553950792
136,7.8877628237968915
137,16.644812168051242
138,4.718026564145779
139,-1.6609503800018464
140,-1.4444078633129422
141,-3.8041864057443204
142,-12.640637324239208
143,-18.68170249960381
144,7.133217846028526
145,7.172861202913255
146,10.9564539414642
147,11.322108208031784
148,4.324147153289226
149,4.5166052677634525
150,9.146273307714912
151,14.678774313191777
152,4.589143718419696
153,1.3634913917088303
154,3.832613131155853
155,10.49014766471785
156,18.142817426224525
157,-1.8214495376267936
158,-3.16656793826516
159,-5.580497286593132
160,-14.134066937997845
161,-12.370931626405682
162,2.796794629027291
163,2.738823385342792
164,6.144769730461389
165,16.2488656429918
